length,rapidfuzz,polyleven,python-Levenshtein,edlib,editdistance
441,2.27871867500653E-05,4.06857480002145E-05,,6.33768419998887E-05,5.64931244998661E-05
443,2.2896995251358E-05,4.08378930001163E-05,,6.34879581999485E-05,5.65088385001218E-05
445,2.30183277490141E-05,4.09867260000283E-05,,6.35912749001363E-05,5.69872999994914E-05
447,2.31097044998023E-05,4.13601000000199E-05,,6.41977925999527E-05,5.71156934993269E-05
449,2.67893479976919E-05,4.45232100000794E-05,,6.8864460199984E-05,6.1059173999638E-05
451,2.69304502508021E-05,4.48776909997832E-05,,6.9095426199965E-05,6.11417480004093E-05
453,2.70479255013925E-05,4.53344869997636E-05,,6.91221076000147E-05,6.14220289999139E-05
455,2.7050106000388E-05,4.55638809999073E-05,,6.92547189999459E-05,6.17426435001107E-05
457,2.67147080012364E-05,4.59101120000014E-05,,6.9370005699966E-05,6.22037825005464E-05
459,2.68190107490227E-05,4.59603399999651E-05,,6.94643394001105E-05,6.17987414998424E-05
461,2.69699019991094E-05,4.65031769999769E-05,,6.96512106000228E-05,6.21236859997225E-05
463,2.70878404990071E-05,4.70145740000589E-05,,6.96868269000333E-05,6.25829279997561E-05
465,2.70546687497699E-05,4.71276439998292E-05,,6.9596543300031E-05,6.29502330002651E-05
467,2.71584942493064E-05,4.71796639999411E-05,,6.95722913000282E-05,6.3395021499673E-05
469,2.7287363747746E-05,4.76909389999491E-05,,6.96627824001553E-05,6.34163309996438E-05
471,2.73544304982352E-05,4.78562110001803E-05,,6.9754351300071E-05,6.36572674993658E-05
473,2.75183125013427E-05,4.83005559999583E-05,,6.97022792999633E-05,6.34794609995879E-05
475,2.76477707520826E-05,4.83800189999784E-05,,6.99199549000696E-05,6.37263450007595E-05
477,2.77207237486436E-05,4.85605839999152E-05,,6.99576125000021E-05,6.41086465002445E-05
479,2.78345900005661E-05,4.9151995000102E-05,,7.00114666000445E-05,6.43828715001291E-05
481,2.79652210010681E-05,4.93136060003963E-05,,7.01908549999644E-05,6.4831848499125E-05
483,2.80485795010463E-05,4.96408260000862E-05,,7.02185993999592E-05,6.50231230001736E-05
485,2.81255657500878E-05,4.9955828000293E-05,,7.03613399999085E-05,6.52334209999026E-05
487,2.82434364999062E-05,5.00076160001299E-05,,7.03193886998633E-05,6.55190959996617E-05
489,2.83260977485043E-05,5.02982339999107E-05,,7.05807402000573E-05,6.55778944992562E-05
491,2.83872777472425E-05,5.06904660001055E-05,,7.05436872000064E-05,6.61751144998561E-05
493,2.84475645021303E-05,5.10472129999471E-05,,7.05403885998749E-05,6.65059024995571E-05
495,2.85775917473075E-05,5.12416900000972E-05,,7.08972765998624E-05,6.64643125001021E-05
497,2.87201674982498E-05,5.13754399999016E-05,,7.08836281999538E-05,6.644193000011E-05
499,2.88153602487E-05,5.1692600000024E-05,,7.09373514000618E-05,6.65725585004111E-05
501,2.89036702488374E-05,5.22818519998509E-05,,7.11603301999276E-05,6.70534860000771E-05
503,2.89751665004587E-05,5.20408260003933E-05,,7.13611596000192E-05,6.73243050005112E-05
505,2.91122967500996E-05,5.26044580001326E-05,,7.16365412001323E-05,6.76955320004709E-05
507,2.91771007505304E-05,5.2802654000061E-05,,7.16075423999428E-05,6.76353515000301E-05
509,2.9259794500831E-05,5.30526679999639E-05,,7.1791354800007E-05,6.80824885002949E-05
511,2.93949480001174E-05,5.32508809997125E-05,,7.25474404000124E-05,6.86280889995032E-05
